RSSI: -16 dbm, Remote RSSI: -18 dbm
RSSI: -28 dbm, Remote RSSI: -25 dbm
RSSI: -22 dbm, Remote RSSI: -26 dbm
RSSI: -32 dbm, Remote RSSI: -29 dbm
RSSI: -30 dbm, Remote RSSI: -29 dbm
RSSI: -32 dbm, Remote RSSI: -31 dbm
RSSI: -30 dbm, Remote RSSI: -30 dbm
RSSI: -28 dbm, Remote RSSI: -30 dbm
RSSI: -31 dbm, Remote RSSI: -30 dbm
RSSI: -32 dbm, Remote RSSI: -31 dbm
RSSI: -30 dbm, Remote RSSI: -32 dbm
RSSI: -30 dbm, Remote RSSI: -31 dbm
RSSI: -25 dbm, Remote RSSI: -26 dbm
RSSI: -30 dbm, Remote RSSI: -26 dbm
RSSI: -35 dbm, Remote RSSI: -26 dbm
RSSI: -33 dbm, Remote RSSI: -32 dbm
RSSI: -33 dbm, Remote RSSI: -33 dbm
RSSI: -33 dbm, Remote RSSI: -34 dbm
RSSI: -38 dbm, Remote RSSI: -33 dbm
RSSI: -38 dbm, Remote RSSI: -36 dbm
RSSI: -42 dbm, Remote RSSI: -38 dbm
RSSI: -36 dbm, Remote RSSI: -39 dbm
RSSI: -35 dbm, Remote RSSI: -35 dbm
RSSI: -38 dbm, Remote RSSI: -36 dbm
RSSI: -39 dbm, Remote RSSI: -39 dbm
RSSI: -40 dbm, Remote RSSI: -40 dbm
RSSI: -45 dbm, Remote RSSI: -43 dbm
RSSI: -43 dbm, Remote RSSI: -45 dbm
RSSI: -39 dbm, Remote RSSI: -42 dbm
RSSI: -38 dbm, Remote RSSI: -39 dbm
RSSI: -37 dbm, Remote RSSI: -38 dbm
RSSI: -39 dbm, Remote RSSI: -39 dbm
RSSI: -39 dbm, Remote RSSI: -39 dbm
RSSI: -42 dbm, Remote RSSI: -40 dbm
RSSI: -42 dbm, Remote RSSI: -41 dbm
RSSI: -40 dbm, Remote RSSI: -41 dbm
RSSI: -38 dbm, Remote RSSI: -38 dbm
RSSI: -36 dbm, Remote RSSI: -37 dbm
RSSI: -36 dbm, Remote RSSI: -36 dbm
RSSI: -44 dbm, Remote RSSI: -37 dbm
RSSI: -41 dbm, Remote RSSI: -39 dbm
RSSI: -45 dbm, Remote RSSI: -41 dbm
RSSI: -51 dbm, Remote RSSI: -42 dbm
RSSI: -44 dbm, Remote RSSI: -45 dbm
RSSI: -38 dbm, Remote RSSI: -40 dbm
RSSI: -37 dbm, Remote RSSI: -38 dbm
RSSI: -38 dbm, Remote RSSI: -35 dbm
RSSI: -42 dbm, Remote RSSI: -37 dbm
RSSI: -42 dbm, Remote RSSI: -44 dbm
RSSI: -42 dbm, Remote RSSI: -44 dbm
RSSI: -46 dbm, Remote RSSI: -45 dbm
RSSI: -48 dbm, Remote RSSI: -45 dbm
RSSI: -48 dbm, Remote RSSI: -51 dbm
RSSI: -44 dbm, Remote RSSI: -47 dbm
RSSI: -41 dbm, Remote RSSI: -44 dbm
RSSI: -42 dbm, Remote RSSI: -44 dbm
RSSI: -41 dbm, Remote RSSI: -42 dbm
RSSI: -44 dbm, Remote RSSI: -49 dbm
RSSI: -44 dbm, Remote RSSI: -46 dbm
RSSI: -43 dbm, Remote RSSI: -46 dbm
RSSI: -43 dbm, Remote RSSI: -46 dbm
RSSI: -44 dbm, Remote RSSI: -43 dbm
RSSI: -42 dbm, Remote RSSI: -44 dbm
RSSI: -40 dbm, Remote RSSI: -44 dbm
RSSI: -44 dbm, Remote RSSI: -39 dbm
RSSI: -38 dbm, Remote RSSI: -41 dbm
RSSI: -35 dbm, Remote RSSI: -36 dbm
RSSI: -35 dbm, Remote RSSI: -36 dbm
RSSI: -34 dbm, Remote RSSI: -34 dbm
RSSI: -34 dbm, Remote RSSI: -34 dbm
RSSI: -34 dbm, Remote RSSI: -34 dbm
RSSI: -36 dbm, Remote RSSI: -35 dbm
RSSI: -36 dbm, Remote RSSI: -35 dbm
RSSI: -36 dbm, Remote RSSI: -36 dbm
RSSI: -36 dbm, Remote RSSI: -36 dbm
RSSI: -36 dbm, Remote RSSI: -36 dbm
RSSI: -36 dbm, Remote RSSI: -36 dbm
RSSI: -36 dbm, Remote RSSI: -36 dbm
RSSI: -40 dbm, Remote RSSI: -36 dbm
RSSI: -45 dbm, Remote RSSI: -41 dbm
RSSI: -46 dbm, Remote RSSI: -45 dbm
